,word,book_count,book_frequency,show_count,show_frequency
44,way,62.0,0.0023052612009667223,23.0,0.001961620469083156
45,friend,61.0,0.002268079568693066,10.0,0.0008528784648187633
46,hall,61.0,0.002268079568693066,,
47,saw,61.0,0.002268079568693066,29.0,0.0024733475479744135
48,go,60.0,0.002230897936419409,28.0,0.0023880597014925373
49,case,59.0,0.002193716304145752,10.0,0.0008528784648187633
50,death,59.0,0.002193716304145752,3.0,0.000255863539445629
51,away,58.0,0.002156534671872095,66.0,0.005628997867803838
52,light,57.0,0.0021193530395984383,16.0,0.0013646055437100213
53,little,56.0,0.0020821714073247814,24.0,0.002046908315565032
54,first,56.0,0.0020821714073247814,18.0,0.001535181236673774
55,good,56.0,0.0020821714073247814,17.0,0.0014498933901918977
56,made,55.0,0.002044989775051125,4.0,0.0003411513859275053
57,great,55.0,0.002044989775051125,4.0,0.0003411513859275053
58,yes,55.0,0.002044989775051125,32.0,0.0027292110874200426
59,nothing,54.0,0.002007808142777468,22.0,0.0018763326226012792
60,yet,53.0,0.001970626510503811,5.0,0.00042643923240938164
61,like,50.0,0.0018590816136828407,29.0,0.0024733475479744135
62,make,49.0,0.0018218999814091838,11.0,0.0009381663113006396
63,since,48.0,0.0017847183491355272,4.0,0.0003411513859275053
64,looked,47.0,0.0017475367168618703,,
65,baronet,46.0,0.0017103550845882134,,
66,london,46.0,0.0017103550845882134,4.0,0.0003411513859275053
67,round,46.0,0.0017103550845882134,22.0,0.0018763326226012792
68,day,46.0,0.0017103550845882134,2.0,0.00017057569296375266
69,matter,46.0,0.0017103550845882134,4.0,0.0003411513859275053
70,still,45.0,0.0016731734523145567,36.0,0.003070362473347548
71,mind,45.0,0.0016731734523145567,20.0,0.0017057569296375266
72,seen,44.0,0.0016359918200408998,16.0,0.0013646055437100213
73,found,44.0,0.0016359918200408998,7.0,0.0005970149253731343
74,turned,44.0,0.0016359918200408998,5.0,0.00042643923240938164
75,place,43.0,0.001598810187767243,15.0,0.001279317697228145
76,far,43.0,0.001598810187767243,12.0,0.001023454157782516
77,black,43.0,0.001598810187767243,6.0,0.000511727078891258
78,left,43.0,0.001598810187767243,6.0,0.000511727078891258
79,find,43.0,0.001598810187767243,14.0,0.0011940298507462687
80,something,42.0,0.0015616285554935863,42.0,0.003582089552238806
81,thought,42.0,0.0015616285554935863,17.0,0.0014498933901918977
82,also,42.0,0.0015616285554935863,5.0,0.00042643923240938164
83,help,42.0,0.0015616285554935863,10.0,0.0008528784648187633
84,name,42.0,0.0015616285554935863,13.0,0.0011087420042643922
85,get,42.0,0.0015616285554935863,42.0,0.003582089552238806
86,told,41.0,0.0015244469232199294,8.0,0.0006823027718550107
87,without,41.0,0.0015244469232199294,4.0,0.0003411513859275053
88,shall,41.0,0.0015244469232199294,4.0,0.0003411513859275053
89,give,41.0,0.0015244469232199294,8.0,0.0006823027718550107
90,anything,40.0,0.0014872652909462725,17.0,0.0014498933901918977
91,doubt,40.0,0.0014872652909462725,3.0,0.000255863539445629
92,dark,40.0,0.0014872652909462725,14.0,0.0011940298507462687
93,asked,40.0,0.0014872652909462725,,
94,ever,39.0,0.0014500836586726158,11.0,0.0009381663113006396
95,right,38.0,0.001412902026398959,54.0,0.004605543710021322
96,wife,38.0,0.001412902026398959,2.0,0.00017057569296375266
97,side,38.0,0.001412902026398959,28.0,0.0023880597014925373
98,hand,38.0,0.001412902026398959,35.0,0.0029850746268656717
99,hands,38.0,0.001412902026398959,26.0,0.0022174840085287845
100,morning,37.0,0.001375720394125302,6.0,0.000511727078891258
101,lay,36.0,0.0013385387618516454,1.0,8.528784648187633e-05
102,family,36.0,0.0013385387618516454,,
103,knew,36.0,0.0013385387618516454,8.0,0.0006823027718550107
104,every,36.0,0.0013385387618516454,7.0,0.0005970149253731343
105,dear,36.0,0.0013385387618516454,4.0,0.0003411513859275053
106,woman,36.0,0.0013385387618516454,9.0,0.000767590618336887
107,however,36.0,0.0013385387618516454,4.0,0.0003411513859275053
108,seemed,36.0,0.0013385387618516454,,
109,sherlock,35.0,0.0013013571295779885,273.0,0.023283582089552238
110,life,35.0,0.0013013571295779885,1.0,8.528784648187633e-05
111,lady,35.0,0.0013013571295779885,1.0,8.528784648187633e-05
112,window,34.0,0.0012641754973043316,7.0,0.0005970149253731343
113,fellow,34.0,0.0012641754973043316,,
114,took,34.0,0.0012641754973043316,5.0,0.00042643923240938164
